city,colors,shape,state,time
Crowder,,,MS,6/1/1950 0:00
Philadelphia,,DISK,MS,6/1/1950 16:00
Pittsburgh,,OVAL,PA,6/1/1950 20:00
Kensington,,OVAL,MD,6/7/1950 20:00
Kansas City,,DISK,MO,6/8/1950 10:00
Napa,GREEN,DISK,CA,6/10/1950 0:00
Grosse Pointe Park,,OVAL,MI,6/15/1950 13:00
Bonifay,,DISK,FL,6/15/1950 20:00
Fort Worth,,DISK,TX,6/15/1950 20:00
Booneville,,DISK,MS,6/20/1950 10:00
Galveston,,SPHERE,TX,6/20/1950 17:00
Lac Du Flambeau,,DISK,WI,6/30/1950 16:00
Florence,,DISK,CO,6/30/1950 17:30
Florence,,LIGHT,CO,6/30/1950 17:30
Coeur d'Alene,ORANGE,CIGAR,ID,7/2/1950 13:00
Bay St. Louis,,LIGHT,MS,7/2/1950 21:00
East Palestine,,LIGHT,OH,7/10/1950 20:30
Newark,,SPHERE,NJ,7/15/1950 21:30
Los Padres National Forest,,FORMATION,CA,7/15/1950 23:00
Smithport,,DISK,PA,7/20/1950 21:30
Louisville,,OTHER,KY,8/1/1950 4:00
Stanfield,,DISK,OR,8/15/1950 14:00
Pikeville,,DISK,KY,10/1/1950 11:00
Sandy Hook,,TRIANGLE,NJ,10/15/1950 15:00
Half Moon Bay,,OTHER,CA,12/12/1950 22:00
Palm Springs,,CIGAR,CA,1/20/1951 4:30
Thompsonville,,DISK,CT,2/3/1951 22:00
Los Angeles,,DISK,CA,2/15/1951 11:00
Irving,BLUE,DISK,KS,4/15/1951 0:30
Fort Sill,,OVAL,OK,5/15/1951 3:00
Oklahoma,,CIGAR,OK,6/1/1951 19:00
Jasper,,OVAL,NC,6/3/1951 13:00
Mount Pinos,,DISK,CA,6/6/1951 2:00
Greenville,GREEN,DISK,MS,6/15/1951 20:30
Jackson Heights,,DISK,NY,6/30/1951 7:00
Birmingham,,,AL,6/30/1951 19:00
Otis Orchards,,DISK,WA,7/1/1951 3:00
Atlanta,,,GA,7/1/1951 14:00
Calaveras County,,DISK,CA,7/3/1951 3:00
Green River,GREEN,SPHERE,WY,7/3/1951 12:00
Provo,BLUE,DISK,UT,7/10/1951 23:30
Spokane Valley,,SPHERE,WA,7/15/1951 14:00
Sunland,,CIRCLE,CA,8/10/1951 1:00
Altoona,,DISK,PA,8/15/1951 13:00
Jacksonville,,DISK,FL,10/15/1951 20:00
Holloman AFB,,CIRCLE,NM,11/15/1951 6:00
Salt Lake City,,,UT,1/1/1952 0:00
Binghamton,,DISK,NY,2/10/1952 21:00
Nellis AFB,,DISK,NV,2/17/1952 18:00
Chicago,,DISK,IL,4/15/1952 13:00
Greenville,ORANGE,TRIANGLE,TX,4/15/1952 16:00
Pittsburgh,,CYLINDER,PA,5/15/1952 10:15
Allyn,,DISK,WA,5/15/1952 20:00
Dousman,,,WI,6/1/1952 11:00
Norfolk,RED,FIREBALL,VA,6/1/1952 22:00
Evergreen,,DISK,CO,6/6/1952 13:00
Chicago,,CIRCLE,IL,6/10/1952 12:00
Fortville,,DISK,IN,6/13/1952 7:30
Luke Airforce Base,,EGG,AZ,6/15/1952 0:00
Piedra Blanka,,CIGAR,CA,6/15/1952 0:00
Jacksonville,,TRIANGLE,FL,6/15/1952 21:00
Maywood,,CIRCLE,CA,6/15/1952 23:00
Lansing,,OTHER,MI,6/21/1952 22:00
Chester,,OVAL,PA,6/22/1952 17:45
Cheyenne,,DISK,WY,6/30/1952 0:00
Pecos,,DISK,TX,6/30/1952 3:00
Barksdale AFB,,,LA,6/30/1952 6:00
Miami,,LIGHT,FL,6/30/1952 9:00
New York City,,DISK,NY,6/30/1952 13:00
Auburn,,OVAL,WA,6/30/1952 18:30
Miami,,DISK,FL,6/30/1952 21:00
Miami,,DISK,FL,6/30/1952 21:00
Miami,,LIGHT,FL,6/30/1952 21:00
Sebeka,,OTHER,MN,7/1/1952 15:00
Detroit,,SPHERE,MI,7/1/1952 22:00
Tacoma,,SPHERE,WA,7/5/1952 16:00
Evergreen,,CIRCLE,CO,7/7/1952 10:00
Arlington,,DISK,TX,7/7/1952 13:00
Arlington,GREEN,OVAL,VA,7/13/1952 21:00
Wilmington,,DISK,CA,7/15/1952 12:00
,,DISK,CA,7/15/1952 12:30
Litchfield,,OTHER,PA,7/15/1952 13:00
South Gate,,CIRCLE,CA,7/15/1952 14:00
North Bend,,OTHER,WA,7/15/1952 18:30
New York City,,OTHER,NY,7/15/1952 19:00
Okolona,,OVAL,MS,7/22/1952 9:30
Tacoma,,SPHERE,WA,7/25/1952 16:00
Manville,,SPHERE,RI,7/30/1952 15:00
Tampa,,OVAL,FL,8/1/1952 21:30
Smithson's Valley,,CIGAR,TX,8/15/1952 17:00
Prairie Grove,,DISK,AR,8/15/1952 17:30
Hamilton,,LIGHT,OH,8/15/1952 22:15
Philadelphia,,CIRCLE,PA,9/9/1952 20:00
Norridgewock,,DISK,ME,9/15/1952 14:00
Kansas City,,DISK,MO,10/1/1952 12:00
Richland,,CIRCLE,WA,10/15/1952 21:00
Chicago,,OTHER,IL,12/6/1952 19:00
Camp McCoy,,CYLINDER,WI,12/30/1952 12:00
Nebraska,,,NE,1/1/1953 0:00
Oklahoma,,CIGAR,TX,1/1/1953 14:00
Palm Springs,,,CA,3/15/1953 0:00
Haverhill,,CHEVRON,MA,4/1/1953 15:00
Cambridge,RED,SPHERE,MA,4/1/1953 18:00
Chariton,,OTHER,IA,4/10/1953 13:00
Los Angeles,,FIREBALL,CA,4/15/1953 12:00
Midwest City,YELLOW,FIREBALL,OK,4/15/1953 16:00
Jamison,,CIGAR,PA,4/30/1953 16:00
Kingman,,,AZ,5/20/1953 8:00
Fresno,,,CA,6/1/1953 21:00
Roswell,,,NM,6/15/1953 0:00
Wenatchee,,DISK,WA,6/15/1953 12:00
Fort Worth,,SPHERE,TX,6/15/1953 13:00
North Bend,,CIRCLE,WA,6/15/1953 18:00
Galveston,,CIGAR,TX,6/17/1953 7:30
Cleveland,RED,FIREBALL,OH,6/30/1953 0:00
Kelso,,OVAL,WA,6/30/1953 15:00
Colorado Springs,,DISK,CO,7/1/1953 5:30
,BLUE,DISK,MT,7/4/1953 14:00
Ogallala,,OTHER,NE,7/4/1953 21:00
Nashville,,CYLINDER,TN,7/15/1953 13:00
Dublin,,CONE,IN,7/17/1953 22:00
Berkeley,,FIREBALL,MO,8/1/1953 12:00
"San Bernadino Mtns, Church Camp",,DISK,CA,8/1/1953 14:00
Vallejo,,LIGHT,CA,8/7/1953 21:00
Louisville,,CIRCLE,KY,8/15/1953 11:00
Artesia,ORANGE,OTHER,NM,8/15/1953 19:00
Bowleys Quarters,,SPHERE,MD,8/15/1953 21:00
Homer,,,PA,9/15/1953 14:00
Mauriceville,,DISK,TX,10/15/1953 14:00
New Orleans,,OVAL,LA,10/31/1953 19:00
Cicero,,OTHER,IL,11/13/1953 20:00
Keansburg,,CIRCLE,NJ,11/15/1953 3:00
Pendleton,GREEN,DISK,IN,11/21/1953 22:30
Lackland Air Force Base,,DISK,TX,11/25/1953 4:25
Brunswick,,,ME,1/1/1954 0:00
Lakeland,,DISK,FL,1/1/1954 1:00
Souix City,,CIRCLE,IA,1/1/1954 22:00
Santa Monica,,LIGHT,CT,1/15/1954 20:00
Fairbanks,,,AK,2/1/1954 2:00
Burney,,DISK,CA,2/15/1954 19:30
Stanford Campus,,DISK,CA,4/1/1954 22:00
Corvallis,,DIAMOND,OR,5/15/1954 12:00
Quincy,,DISK,IL,5/26/1954 4:30
Houston,,DISK,TX,6/1/1954 0:00
Ovid,,DISK,NY,6/1/1954 6:00
Springfield,,CYLINDER,IL,6/1/1954 8:00
El Cerrito,,LIGHT,CA,6/1/1954 19:00
Toledo,,DISK,OH,6/1/1954 19:00
Norfolk,,DISK,VA,6/1/1954 20:00
Philadelphia,,DISK,PA,6/1/1954 20:00
Fish Canyon,,LIGHT,CA,6/1/1954 23:00
Atlanta,,DISK,GA,6/6/1954 10:00
Estes Park,,CIGAR,CO,6/10/1954 20:00
Glenburn,,,ME,6/11/1954 2:00
Palm Beach,,LIGHT,CA,6/15/1954 11:00
Claymont,,DISK,DE,6/15/1954 11:45
Ellington AFB,,DISK,TX,6/15/1954 16:30
Lorton,,OTHER,VA,6/23/1954 2:00
Langley Air Force Base,,CIRCLE,VA,6/23/1954 23:00
Thrifty,,CIRCLE,TX,6/25/1954 3:30
Marion,,CIRCLE,VA,6/30/1954 0:00
Methuen,,,MA,6/30/1954 0:00
Hawthorne,,LIGHT,CA,6/30/1954 12:00
Pasadena,,CIRCLE,CA,6/30/1954 15:00
St. Louis Airport,RED,OVAL,MO,7/1/1954 21:00
Los Angeles,RED,CIRCLE,CA,7/1/1954 22:00
Walnut Creek,,,CA,7/7/1954 20:00
West Columbia,,FORMATION,SC,7/7/1954 22:00
Morroco,,VARIOUS,IN,7/12/1954 17:30
Philadelphia,,DISK,PA,7/15/1954 11:00
Greenfield,,CIGAR,IN,7/15/1954 14:00
Kansas City,,CHEVRON,KS,7/15/1954 21:00
Oakdale,,DISK,NY,7/15/1954 21:00
Bridge Hampton,,LIGHT,NY,7/15/1954 22:00
Farmingdale,,OVAL,NY,8/1/1954 12:00
Dyer,,TRIANGLE,IN,8/1/1954 17:00
Canton,,DISK,PA,8/1/1954 21:00
North Hollywood,,LIGHT,CA,8/1/1954 22:00
Puyallup,,OVAL,WA,8/15/1954 21:00
Geneva,,DISK,NY,9/1/1954 13:00
Beaumont,RED,DISK,TX,9/9/1954 12:30
Palmer Township,,OTHER,PA,9/15/1954 9:30
Flatwoods,,CIRCLE,WV,10/1/1954 19:00
Blanco,,OTHER,TX,10/15/1954 16:30
Manistee,,CIRCLE,MI,10/15/1954 21:30
Denver,,FIREBALL,CO,11/1/1954 18:30
Thelma,,DISK,TX,11/14/1954 1:00
Red Bank,ORANGE,CIRCLE,NJ,12/15/1954 23:10
Yucaipa,,OVAL,CA,12/16/1954 16:50
New York City,,LIGHT,NY,2/15/1955 19:00
Holbrook,YELLOW,EGG,MA,5/1/1955 15:00
Warrington,,FIREBALL,FL,5/15/1955 3:00
Homaland,,CIRCLE,CA,6/1/1955 0:00
Bagley,,CIRCLE,MN,6/1/1955 2:00
Cincinnati,,DISK,OH,6/1/1955 15:29
Martinez,,CIRCLE,CA,6/1/1955 17:00
Clinton,,EGG,TN,6/1/1955 20:30
Pensacola,,LIGHT,FL,6/6/1955 1:00
South St. Paul,,DISK,MN,6/15/1955 0:00
Terre Haute,ORANGE,CIRCLE,IN,6/15/1955 0:00
Missouri,,LIGHT,MO,6/15/1955 4:30
Youngstown,,,PA,6/15/1955 8:00
Daytona Beach,,FIREBALL,FL,6/15/1955 21:00
Rantoul,,LIGHT,IL,6/17/1955 7:00
Beach Haven Park,,DISK,NJ,6/23/1955 7:00
Quartz Hill,,DISK,CA,6/30/1955 0:00
Lubbock,,CIGAR,TX,6/30/1955 13:00
Dumas,,LIGHT,TX,6/30/1955 21:00
Morehead City,,DISK,NC,6/30/1955 21:00
Carnation,,DISK,WA,7/1/1955 14:00
Dierks,,CIGAR,AR,7/1/1955 22:00
Woodland Park,,OVAL,CO,7/15/1955 14:00
Ringold,,LIGHT,LA,7/15/1955 22:00
Newtown Square,,CIRCLE,PA,8/6/1955 19:00
Independence,,FIREBALL,MO,8/8/1955 1:00
Madisonville,,LIGHT,KY,8/14/1955 1:00
Eagle Pass,,CIGAR,TX,8/15/1955 0:01
Covina,,DISK,CA,8/17/1955 21:00
Bullhead,,DISK,AZ,9/10/1955 23:00
Mono Lake,,CIRCLE,CA,10/1/1955 22:00
West Covina,GREEN,,CA,10/9/1955 18:00
Rhinebeck,,LIGHT,NY,10/15/1955 20:00
Weirton,,DISK,WV,1/1/1956 5:30
Petaluma,,OVAL,CA,3/1/1956 13:00
Bowie,,DISK,MD,3/20/1956 20:00
Hampton,,SPHERE,MN,3/22/1956 17:30
Canton,,CIGAR,OH,5/1/1956 12:00
Pine castle AFB,,LIGHT,FL,5/15/1956 20:00
Ada,,CIRCLE,OK,5/17/1956 10:22
Belton,,OTHER,MO,6/1/1956 19:00
Memphis,ORANGE,CYLINDER,TN,6/1/1956 20:00
Elmore,,SPHERE,AL,6/5/1956 0:00
Salt Lake City,,CIRCLE,UT,6/5/1956 0:00
Upper Glade,,EGG,WV,6/6/1956 12:00
Akron,,OTHER,OH,6/6/1956 22:00
Edroy,,,TX,6/15/1956 1:00
San Francisco,,OTHER,CA,6/15/1956 12:15
Palo Alto,,FIREBALL,CA,6/15/1956 18:00
Richfield Springs,,CIGAR,NY,6/15/1956 18:00
Vista,ORANGE,CIGAR,CA,6/15/1956 19:15
Farragut,,CIGAR,TN,6/15/1956 20:00
Tulsa,,FLASH,OK,6/15/1956 20:00
Salem,,DISK,NJ,6/15/1956 20:32
New York City,,LIGHT,NY,6/15/1956 21:00
Cincinnati,,DISK,OH,6/16/1956 13:00
Madera,,SPHERE,CA,6/24/1956 14:00
Willow Grove,,LIGHT,PA,6/30/1956 1:00
Cape Girardeau,,DIAMOND,MO,6/30/1956 13:00
New Brunswick,,DISK,NJ,6/30/1956 16:00
Houston,,TRIANGLE,TX,6/30/1956 18:30
Beatrice,,OTHER,NE,7/1/1956 16:00
Wichita,,,KS,7/12/1956 19:00
Sacramento,,DISK,CA,7/14/1956 19:30
East Hampton,,DISK,CT,7/15/1956 0:00
Yellowstone Park,,DISK,WY,7/15/1956 0:00
Sugarcreek,,DISK,OH,7/15/1956 5:00
Harvard,,,MA,8/1/1956 20:00
Bradford,YELLOW,SPHERE,AL,8/1/1956 23:30
Norfolk,,CIGAR,VA,9/9/1956 5:55
Middle River,BLUE,CIRCLE,MD,9/15/1956 20:00
Hope,,CIRCLE,AR,9/20/1956 16:00
Greenwich,,LIGHT,CT,9/21/1956 0:00
Newport,,RECTANGLE,NH,10/1/1956 19:00
Edna,,CIRCLE,TX,10/10/1956 21:00
Mt. Vernon,,DISK,IN,10/15/1956 21:30
Aberdeen,ORANGE,CIRCLE,SD,11/15/1956 18:30
Painsville,,RECTANGLE,OH,11/27/1956 22:00
Columbus,,FORMATION,OH,12/1/1956 23:00
Dallas,,,TX,1/1/1957 21:00
Jena,,SPHERE,LA,3/5/1957 19:30
Fort Devans,,OVAL,MA,3/7/1957 4:00
Los Angeles,,FORMATION,CA,3/15/1957 13:00
Los Angeles,,DISK,CA,3/15/1957 15:00
Canton,,CIGAR,OH,5/1/1957 12:00
Rhinebeck,,DIAMOND,NY,5/25/1957 13:00
Union Bower are irving,,FORMATION,TX,6/1/1957 0:00
El Paso,,DISK,TX,6/1/1957 10:00
E. Los Angeles,,LIGHT,CA,6/1/1957 12:00
Glens Falls,,DISK,NY,6/1/1957 20:00
Irving,,LIGHT,TX,6/1/1957 22:00
Hicksville,,CIRCLE,NY,6/6/1957 22:00
Green Lake,,OVAL,MI,6/12/1957 19:00
Livermore Falls,,DIAMOND,ME,6/14/1957 10:00
Great Falls,,,MT,6/15/1957 0:00
Hartford City,,DISK,IN,6/15/1957 13:00
Walled Lake,,CYLINDER,MI,6/15/1957 23:30
San Leandro,,LIGHT,CA,6/19/1957 21:00
Lubbock,,TRIANGLE,TX,6/21/1957 17:00
Norwalk,,DISK,CA,6/21/1957 19:30
Arctic,,CIGAR,AK,6/30/1957 0:00
Dallas,,OTHER,TX,6/30/1957 0:00
Birmingham,,,MI,6/30/1957 3:30
New York City,,TEARDROP,NY,6/30/1957 12:00
Burlington,,CIRCLE,IA,6/30/1957 13:00
Russellville,ORANGE,SPHERE,AR,6/30/1957 18:00
Barker,,DISK,NY,6/30/1957 20:00
Albany,,CIRCLE,CA,6/30/1957 21:00
Mullens,,OVAL,WV,7/1/1957 13:00
Talcott,,SPHERE,WV,7/1/1957 13:00
Del Rio,,CIGAR,TX,7/1/1957 20:00
Phillipsburg,,CIGAR,NJ,7/10/1957 20:00
Baltimore,,OTHER,MD,7/10/1957 22:00
Chesapeake,,DISK,OH,7/13/1957 9:00
Temple City,,LIGHT,CA,7/15/1957 12:00
Houston,,DIAMOND,TX,7/15/1957 13:00
Williamsport,,CIGAR,PA,7/15/1957 14:00
Long Beach,,DISK,CA,7/15/1957 15:00
Denver,,LIGHT,CO,7/15/1957 22:00
Kresgeville,,,PA,7/15/1957 22:00
Salt  Lake City,,DISK,UT,7/15/1957 22:00
Kansas City,RED,LIGHT,MO,7/15/1957 23:30
Arco,,DISK,ID,8/1/1957 12:00
Vandalia,,DISK,OH,8/3/1957 20:00
Bainbridge,,FIREBALL,MD,8/4/1957 2:00
Indianapolis,,LIGHT,IN,8/7/1957 1:00
San Diego,,DISK,CA,8/9/1957 0:30
Ticonderoga,,DISK,NY,8/14/1957 16:00
California,,FIREBALL,CA,8/14/1957 21:00
Longview,,TRIANGLE,WA,8/15/1957 1:00
Ludlow,,CIGAR,MA,8/15/1957 1:00
Exeter,,DISK,NH,8/15/1957 21:00
Auburn,,,MA,8/15/1957 21:30
Smith's Ferry,,DISK,ID,8/16/1957 21:30
Huntington,,TRIANGLE,IN,8/17/1957 23:00
Graham,,SPHERE,TX,9/1/1957 16:00
Brecksville,,CIRCLE,OH,9/1/1957 23:00
Los Gatos,,DISK,CA,9/5/1957 17:30
St. Paul,,DISK,MN,9/10/1957 19:15
El Paso,,DISK,TX,9/15/1957 4:00
Lake Jackson,,FIREBALL,TX,9/15/1957 21:30
Tacoma,,DISK,WA,9/15/1957 23:00
Hopkinsville,,CIGAR,KY,9/20/1957 0:00
Nelchina,,,AK,10/1/1957 16:00
Martelle,,CIGAR,IA,10/1/1957 20:30
Paterson,,DISK,NJ,10/1/1957 21:00
Northeast Cape AFS,,,AK,10/1/1957 22:00
St. Paul,,LIGHT,MN,10/5/1957 19:00
England,,DISK,AR,10/15/1957 1:45
New York City,,,NY,10/15/1957 2:00
Houston,,LIGHT,TX,10/15/1957 20:30
Commerce City,,FIREBALL,CO,10/15/1957 22:00
Teaneck,,CYLINDER,NJ,11/10/1957 17:00
Corpus Christi,,LIGHT,TX,11/10/1957 19:00
St Lawrence Island,,OTHER,AK,11/10/1957 20:00
Madison,,CIGAR,WI,12/28/1957 0:00
Madison,,CIGAR,WI,12/28/1957 0:00
Pep,,FIREBALL,TX,1/1/1958 22:00
Howell,,CIGAR,MI,2/15/1958 2:30
Winooski,,OVAL,VT,4/17/1958 21:30
Winooski,,OVAL,VT,4/17/1958 21:30
Palmer Park,,SPHERE,MD,5/5/1958 20:00
North Hollywood,,CIRCLE,CA,5/7/1958 10:00
Cincinnati,,DIAMOND,OH,5/16/1958 0:00
North Hollywood,,SPHERE,CA,5/20/1958 0:00
Middlesex,,CIRCLE,NC,6/1/1958 2:00
San Francisco,,OVAL,CA,6/1/1958 19:00
New York City,,OVAL,NY,6/1/1958 21:00
Timpson,,LIGHT,TX,6/1/1958 22:00
Grand Island,,CIRCLE,NE,6/1/1958 22:30
Cincinnati,,DIAMOND,OH,6/6/1958 9:30
Baldwin Park,,CIGAR,CA,6/10/1958 12:00
Florala ?,,DISK,AL,6/15/1958 0:00
Mountain View,,OTHER,MO,6/15/1958 0:00
Coffeyville,,CIGAR,KS,6/15/1958 15:00
Yonkers,,LIGHT,NY,6/15/1958 15:00
Menlo Park,,LIGHT,CA,6/15/1958 19:15
Houston,,DISK,TX,6/15/1958 20:00
Oklahoma,,LIGHT,OK,6/15/1958 22:00
Pawnee,,,OK,6/15/1958 23:00
Pawnee,,LIGHT,OK,6/15/1958 23:00
Silverdale,,CYLINDER,WA,6/30/1958 12:00
Conyers,,TEARDROP,GA,6/30/1958 13:00
Camden,,DISK,ME,6/30/1958 16:00
Fort Worth,,DISK,TX,6/30/1958 20:00
Durham,,LIGHT,KS,6/30/1958 21:30
Thibodaux,,FIREBALL,LA,6/30/1958 23:00
Osmond,,,NE,7/1/1958 4:48
Muncie,,,IN,7/1/1958 21:00
Cheektowaga,,TEARDROP,NY,7/10/1958 9:00
Woodland Hills,,LIGHT,FL,7/10/1958 17:00
no data,,DISK,UT,7/11/1958 23:00
Novato,,DISK,CA,7/15/1958 17:30
Rock Springs,,DISK,WY,7/20/1958 21:30
Randallstown,,TRIANGLE,MD,7/30/1958 22:00
Derby,,DISK,CT,8/1/1958 19:00
Scarborough,,DISK,ME,8/8/1958 15:00
Bellevue,,LIGHT,WA,8/10/1958 21:30
Monroe,,OVAL,GA,8/15/1958 14:00
Fargo,,DISK,ND,9/1/1958 20:00
Perry,RED,TRIANGLE,IA,9/1/1958 21:00
Arthur,,,ND,9/7/1958 19:00
Ashland,,CIRCLE,KY,9/14/1958 19:30
Davis Jct.,,FIREBALL,IL,9/20/1958 22:20
Phelps County,,DISK,NE,9/25/1958 19:00
St. Paul,,OTHER,MN,10/20/1958 21:00
Terrebonne,,,OR,10/25/1958 20:00
Riverside,,LIGHT,IL,10/30/1958 1:00
Greenville,,DISK,RI,11/15/1958 22:30
Milwaukee,,DISK,WI,11/25/1958 23:00
South San Francisco,,DISK,CA,1/10/1959 18:30
New York City,,,NY,3/1/1959 23:00
Miami,,SPHERE,FL,4/1/1959 1:00
Mendham,,DISK,NJ,4/15/1959 21:00
Baden,,CYLINDER,PA,4/26/1959 19:00
Columbus,,LIGHT,OH,5/1/1959 18:30
El Sobrante,YELLOW,CIRCLE,CA,5/5/1959 9:00
Evanston,,,IL,5/15/1959 4:00
Cincinnati,,DISK,OH,5/30/1959 17:00
